no_neighs,no_nodes,tau_block,tau_attestation,mainchain_rate,branch_ratio
3,64,5.5,0.5,1.0,0.0
3,64,5.5,1.0,0.9259259259259259,0.08
3,64,5.5,1.5,1.0,0.0
3,64,5.5,2.0,0.9629629629629629,0.038461538461538464
3,64,5.5,2.5,0.9629629629629629,0.038461538461538464
3,64,5.5,3.0,1.0,0.0
3,64,5.5,3.5,1.0,0.0
3,64,5.5,4.0,1.0,0.0
3,64,5.5,4.5,1.0,0.0
3,64,5.5,5.0,0.9629629629629629,0.038461538461538464
3,64,5.5,5.5,0.9259259259259259,0.08
3,64,5.5,6.0,0.9259259259259259,0.08
3,64,5.5,6.5,1.0,0.0
3,64,5.5,7.0,0.9259259259259259,0.08
3,64,5.5,7.5,1.0,0.0
3,64,5.5,8.0,0.9629629629629629,0.038461538461538464
3,64,5.5,8.5,1.0,0.0
3,64,5.5,9.0,1.0,0.0
3,64,5.5,9.5,1.0,0.0
3,64,5.5,10.0,0.9629629629629629,0.038461538461538464
3,64,6.0,0.5,0.9259259259259259,0.08
3,64,6.0,1.0,0.9629629629629629,0.038461538461538464
3,64,6.0,1.5,0.9629629629629629,0.038461538461538464
3,64,6.0,2.0,0.9629629629629629,0.038461538461538464
3,64,6.0,2.5,1.0,0.0
3,64,6.0,3.0,0.9259259259259259,0.08
3,64,6.0,3.5,1.0,0.0
3,64,6.0,4.0,1.0,0.0
3,64,6.0,4.5,0.9629629629629629,0.038461538461538464
3,64,6.0,5.0,1.0,0.0
3,64,6.0,5.5,0.8888888888888888,0.125
3,64,6.0,6.0,0.9259259259259259,0.08
3,64,6.0,6.5,0.9629629629629629,0.038461538461538464
3,64,6.0,7.0,0.9259259259259259,0.08
3,64,6.0,7.5,0.9259259259259259,0.08
3,64,6.0,8.0,0.9629629629629629,0.038461538461538464
3,64,6.0,8.5,1.0,0.0
3,64,6.0,9.0,0.9629629629629629,0.038461538461538464
3,64,6.0,9.5,0.9629629629629629,0.038461538461538464
3,64,6.0,10.0,1.0,0.0
3,64,6.5,0.5,0.9629629629629629,0.038461538461538464
3,64,6.5,1.0,0.9629629629629629,0.038461538461538464
3,64,6.5,1.5,1.0,0.0
3,64,6.5,2.0,0.8888888888888888,0.125
3,64,6.5,2.5,1.0,0.0
3,64,6.5,3.0,0.9259259259259259,0.08
3,64,6.5,3.5,0.9629629629629629,0.038461538461538464
3,64,6.5,4.0,0.9629629629629629,0.038461538461538464
3,64,6.5,4.5,0.9259259259259259,0.08
3,64,6.5,5.0,0.9259259259259259,0.08
3,64,6.5,5.5,0.9629629629629629,0.038461538461538464
3,64,6.5,6.0,0.9629629629629629,0.038461538461538464
3,64,6.5,6.5,0.9259259259259259,0.08
3,64,6.5,7.0,0.9629629629629629,0.038461538461538464
3,64,6.5,7.5,0.9629629629629629,0.038461538461538464
3,64,6.5,8.0,1.0,0.0
3,64,6.5,8.5,1.0,0.0
3,64,6.5,9.0,0.9629629629629629,0.038461538461538464
3,64,6.5,9.5,1.0,0.0
3,64,6.5,10.0,0.8888888888888888,0.125
3,64,7.0,0.5,0.9629629629629629,0.038461538461538464
3,64,7.0,1.0,0.9259259259259259,0.08
3,64,7.0,1.5,0.8888888888888888,0.125
3,64,7.0,2.0,1.0,0.0
3,64,7.0,2.5,0.9629629629629629,0.038461538461538464
3,64,7.0,3.0,0.9259259259259259,0.08
3,64,7.0,3.5,0.8518518518518519,0.17391304347826086
3,64,7.0,4.0,1.0,0.0
3,64,7.0,4.5,0.9629629629629629,0.038461538461538464
3,64,7.0,5.0,0.9629629629629629,0.038461538461538464
3,64,7.0,5.5,1.0,0.0
3,64,7.0,6.0,0.8518518518518519,0.13043478260869565
3,64,7.0,6.5,1.0,0.0
3,64,7.0,7.0,0.9629629629629629,0.038461538461538464
3,64,7.0,7.5,1.0,0.0
3,64,7.0,8.0,0.9629629629629629,0.038461538461538464
3,64,7.0,8.5,0.9259259259259259,0.08
3,64,7.0,9.0,1.0,0.0
3,64,7.0,9.5,0.8518518518518519,0.17391304347826086
3,64,7.0,10.0,0.9259259259259259,0.08
3,64,7.5,0.5,0.9259259259259259,0.08
3,64,7.5,1.0,1.0,0.0
3,64,7.5,1.5,0.8888888888888888,0.125
3,64,7.5,2.0,0.9629629629629629,0.038461538461538464
3,64,7.5,2.5,1.0,0.0
3,64,7.5,3.0,0.8888888888888888,0.125
3,64,7.5,3.5,0.9259259259259259,0.08
3,64,7.5,4.0,0.9629629629629629,0.038461538461538464
3,64,7.5,4.5,0.9629629629629629,0.038461538461538464
3,64,7.5,5.0,0.8888888888888888,0.125
3,64,7.5,5.5,0.9259259259259259,0.08
3,64,7.5,6.0,0.9629629629629629,0.038461538461538464
3,64,7.5,6.5,0.8888888888888888,0.125
3,64,7.5,7.0,0.9259259259259259,0.08
3,64,7.5,7.5,1.0,0.0
3,64,7.5,8.0,0.9259259259259259,0.08
3,64,7.5,8.5,0.9259259259259259,0.08
3,64,7.5,9.0,0.9259259259259259,0.08
3,64,7.5,9.5,0.9259259259259259,0.08
3,64,7.5,10.0,0.9259259259259259,0.08
3,64,8.0,0.5,0.8888888888888888,0.125
3,64,8.0,1.0,0.9629629629629629,0.038461538461538464
3,64,8.0,1.5,0.8888888888888888,0.125
3,64,8.0,2.0,0.9629629629629629,0.038461538461538464
3,64,8.0,2.5,0.8888888888888888,0.125
3,64,8.0,3.0,0.8148148148148148,0.22727272727272727
3,64,8.0,3.5,0.8888888888888888,0.125
3,64,8.0,4.0,0.8888888888888888,0.125
3,64,8.0,4.5,0.8888888888888888,0.125
3,64,8.0,5.0,0.8888888888888888,0.125
3,64,8.0,5.5,0.8148148148148148,0.22727272727272727
3,64,8.0,6.0,0.9259259259259259,0.08
3,64,8.0,6.5,0.8888888888888888,0.125
3,64,8.0,7.0,0.9259259259259259,0.08
3,64,8.0,7.5,0.9629629629629629,0.038461538461538464
3,64,8.0,8.0,0.9259259259259259,0.08
3,64,8.0,8.5,0.8888888888888888,0.125
3,64,8.0,9.0,0.9259259259259259,0.08
3,64,8.0,9.5,0.9259259259259259,0.08
3,64,8.0,10.0,0.8518518518518519,0.13043478260869565
3,64,8.5,0.5,0.9259259259259259,0.08
3,64,8.5,1.0,0.8518518518518519,0.17391304347826086
3,64,8.5,1.5,0.7777777777777778,0.2857142857142857
3,64,8.5,2.0,0.7777777777777778,0.2857142857142857
3,64,8.5,2.5,0.8518518518518519,0.17391304347826086
3,64,8.5,3.0,0.7407407407407407,0.35
3,64,8.5,3.5,0.8518518518518519,0.17391304347826086
3,64,8.5,4.0,0.7777777777777778,0.2857142857142857
3,64,8.5,4.5,0.8888888888888888,0.125
3,64,8.5,5.0,0.8148148148148148,0.22727272727272727
3,64,8.5,5.5,0.8888888888888888,0.125
3,64,8.5,6.0,0.8148148148148148,0.22727272727272727
3,64,8.5,6.5,0.8888888888888888,0.125
3,64,8.5,7.0,0.8888888888888888,0.125
3,64,8.5,7.5,0.8888888888888888,0.125
3,64,8.5,8.0,0.8148148148148148,0.18181818181818182
3,64,8.5,8.5,0.8148148148148148,0.22727272727272727
3,64,8.5,9.0,0.8888888888888888,0.125
3,64,8.5,9.5,0.9259259259259259,0.08
3,64,8.5,10.0,0.9259259259259259,0.08
3,64,9.0,0.5,0.9629629629629629,0.038461538461538464
3,64,9.0,1.0,0.8888888888888888,0.125
3,64,9.0,1.5,0.8148148148148148,0.22727272727272727
3,64,9.0,2.0,0.8148148148148148,0.22727272727272727
3,64,9.0,2.5,0.8148148148148148,0.22727272727272727
3,64,9.0,3.0,0.8148148148148148,0.18181818181818182
3,64,9.0,3.5,0.8148148148148148,0.22727272727272727
3,64,9.0,4.0,0.8518518518518519,0.17391304347826086
3,64,9.0,4.5,0.8518518518518519,0.17391304347826086
3,64,9.0,5.0,0.8148148148148148,0.22727272727272727
3,64,9.0,5.5,0.7777777777777778,0.19047619047619047
3,64,9.0,6.0,0.8518518518518519,0.17391304347826086
3,64,9.0,6.5,0.8148148148148148,0.22727272727272727
3,64,9.0,7.0,0.7777777777777778,0.2857142857142857
3,64,9.0,7.5,0.8888888888888888,0.125
3,64,9.0,8.0,0.9259259259259259,0.08
3,64,9.0,8.5,0.9259259259259259,0.08
3,64,9.0,9.0,0.8518518518518519,0.13043478260869565
3,64,9.0,9.5,0.9259259259259259,0.08
3,64,9.0,10.0,0.8148148148148148,0.22727272727272727
3,64,9.5,0.5,0.8888888888888888,0.125
3,64,9.5,1.0,0.8148148148148148,0.22727272727272727
3,64,9.5,1.5,0.8888888888888888,0.125
3,64,9.5,2.0,0.6666666666666666,0.4444444444444444
3,64,9.5,2.5,0.8518518518518519,0.17391304347826086
3,64,9.5,3.0,0.7407407407407407,0.35
3,64,9.5,3.5,0.8518518518518519,0.17391304347826086
3,64,9.5,4.0,0.8148148148148148,0.22727272727272727
3,64,9.5,4.5,0.8148148148148148,0.22727272727272727
3,64,9.5,5.0,0.8148148148148148,0.22727272727272727
3,64,9.5,5.5,0.7037037037037037,0.42105263157894735
3,64,9.5,6.0,0.8518518518518519,0.17391304347826086
3,64,9.5,6.5,0.7407407407407407,0.35
3,64,9.5,7.0,0.8518518518518519,0.17391304347826086
3,64,9.5,7.5,0.8148148148148148,0.18181818181818182
3,64,9.5,8.0,0.6666666666666666,0.5
3,64,9.5,8.5,0.5925925925925926,0.625
3,64,9.5,9.0,0.7777777777777778,0.19047619047619047
3,64,9.5,9.5,0.8518518518518519,0.17391304347826086
3,64,9.5,10.0,0.8148148148148148,0.22727272727272727
3,64,10.0,0.5,0.8148148148148148,0.22727272727272727
3,64,10.0,1.0,0.9259259259259259,0.08
3,64,10.0,1.5,0.7407407407407407,0.35
3,64,10.0,2.0,0.7777777777777778,0.2857142857142857
3,64,10.0,2.5,0.8888888888888888,0.125
3,64,10.0,3.0,0.9259259259259259,0.08
3,64,10.0,3.5,0.7777777777777778,0.23809523809523808
3,64,10.0,4.0,0.7037037037037037,0.3684210526315789
3,64,10.0,4.5,0.8518518518518519,0.17391304347826086
3,64,10.0,5.0,0.8148148148148148,0.22727272727272727
3,64,10.0,5.5,0.8888888888888888,0.125
3,64,10.0,6.0,0.7777777777777778,0.2857142857142857
3,64,10.0,6.5,0.7407407407407407,0.3
3,64,10.0,7.0,0.8518518518518519,0.17391304347826086
3,64,10.0,7.5,0.6666666666666666,0.5
3,64,10.0,8.0,0.8518518518518519,0.17391304347826086
3,64,10.0,8.5,0.8518518518518519,0.17391304347826086
3,64,10.0,9.0,0.7777777777777778,0.2857142857142857
3,64,10.0,9.5,0.8148148148148148,0.22727272727272727
3,64,10.0,10.0,0.7407407407407407,0.3
3,64,0.5,0.5,1.0,0.0
3,64,0.5,1.0,1.0,0.0
3,64,0.5,1.5,1.0,0.0
3,64,0.5,2.0,1.0,0.0
3,64,0.5,2.5,1.0,0.0
3,64,0.5,3.0,1.0,0.0
3,64,0.5,3.5,1.0,0.0
3,64,0.5,4.0,1.0,0.0
3,64,0.5,4.5,1.0,0.0
3,64,0.5,5.0,1.0,0.0
3,64,0.5,5.5,1.0,0.0
3,64,0.5,6.0,1.0,0.0
3,64,0.5,6.5,1.0,0.0
3,64,0.5,7.0,1.0,0.0
3,64,0.5,7.5,1.0,0.0
3,64,0.5,8.0,1.0,0.0
3,64,0.5,8.5,1.0,0.0
3,64,0.5,9.0,1.0,0.0
3,64,0.5,9.5,1.0,0.0
3,64,0.5,10.0,1.0,0.0
3,64,1.0,0.5,1.0,0.0
3,64,1.0,1.0,1.0,0.0
3,64,1.0,1.5,1.0,0.0
3,64,1.0,2.0,1.0,0.0
3,64,1.0,2.5,1.0,0.0
3,64,1.0,3.0,1.0,0.0
3,64,1.0,3.5,1.0,0.0
3,64,1.0,4.0,1.0,0.0
3,64,1.0,4.5,1.0,0.0
3,64,1.0,5.0,1.0,0.0
3,64,1.0,5.5,1.0,0.0
3,64,1.0,6.0,1.0,0.0
3,64,1.0,6.5,1.0,0.0
3,64,1.0,7.0,1.0,0.0
3,64,1.0,7.5,1.0,0.0
3,64,1.0,8.0,1.0,0.0
3,64,1.0,8.5,1.0,0.0
3,64,1.0,9.0,1.0,0.0
3,64,1.0,9.5,1.0,0.0
3,64,1.0,10.0,1.0,0.0
3,64,1.5,0.5,1.0,0.0
3,64,1.5,1.0,1.0,0.0
3,64,1.5,1.5,1.0,0.0
3,64,1.5,2.0,1.0,0.0
3,64,1.5,2.5,1.0,0.0
3,64,1.5,3.0,1.0,0.0
3,64,1.5,3.5,1.0,0.0
3,64,1.5,4.0,1.0,0.0
3,64,1.5,4.5,1.0,0.0
3,64,1.5,5.0,1.0,0.0
3,64,1.5,5.5,1.0,0.0
3,64,1.5,6.0,1.0,0.0
3,64,1.5,6.5,1.0,0.0
3,64,1.5,7.0,1.0,0.0
3,64,1.5,7.5,1.0,0.0
3,64,1.5,8.0,1.0,0.0
3,64,1.5,8.5,1.0,0.0
3,64,1.5,9.0,1.0,0.0
3,64,1.5,9.5,1.0,0.0
3,64,1.5,10.0,1.0,0.0
3,64,2.0,0.5,1.0,0.0
3,64,2.0,1.0,1.0,0.0
3,64,2.0,1.5,1.0,0.0
3,64,2.0,2.0,1.0,0.0
3,64,2.0,2.5,1.0,0.0
3,64,2.0,3.0,1.0,0.0
3,64,2.0,3.5,1.0,0.0
3,64,2.0,4.0,1.0,0.0
3,64,2.0,4.5,1.0,0.0
3,64,2.0,5.0,1.0,0.0
3,64,2.0,5.5,1.0,0.0
3,64,2.0,6.0,1.0,0.0
3,64,2.0,6.5,1.0,0.0
3,64,2.0,7.0,1.0,0.0
3,64,2.0,7.5,1.0,0.0
3,64,2.0,8.0,1.0,0.0
3,64,2.0,8.5,1.0,0.0
3,64,2.0,9.0,1.0,0.0
3,64,2.0,9.5,1.0,0.0
3,64,2.0,10.0,1.0,0.0
3,64,2.5,0.5,1.0,0.0
3,64,2.5,1.0,1.0,0.0
3,64,2.5,1.5,1.0,0.0
3,64,2.5,2.0,1.0,0.0
3,64,2.5,2.5,1.0,0.0
3,64,2.5,3.0,1.0,0.0
3,64,2.5,3.5,1.0,0.0
3,64,2.5,4.0,1.0,0.0
3,64,2.5,4.5,1.0,0.0
3,64,2.5,5.0,1.0,0.0
3,64,2.5,5.5,1.0,0.0
3,64,2.5,6.0,1.0,0.0
3,64,2.5,6.5,1.0,0.0
3,64,2.5,7.0,1.0,0.0
3,64,2.5,7.5,1.0,0.0
3,64,2.5,8.0,1.0,0.0
3,64,2.5,8.5,1.0,0.0
3,64,2.5,9.0,1.0,0.0
3,64,2.5,9.5,1.0,0.0
3,64,2.5,10.0,1.0,0.0
3,64,3.0,0.5,1.0,0.0
3,64,3.0,1.0,1.0,0.0
3,64,3.0,1.5,1.0,0.0
3,64,3.0,2.0,1.0,0.0
3,64,3.0,2.5,1.0,0.0
3,64,3.0,3.0,1.0,0.0
3,64,3.0,3.5,1.0,0.0
3,64,3.0,4.0,1.0,0.0
3,64,3.0,4.5,1.0,0.0
3,64,3.0,5.0,1.0,0.0
3,64,3.0,5.5,1.0,0.0
3,64,3.0,6.0,1.0,0.0
3,64,3.0,6.5,1.0,0.0
3,64,3.0,7.0,1.0,0.0
3,64,3.0,7.5,1.0,0.0
3,64,3.0,8.0,1.0,0.0
3,64,3.0,8.5,1.0,0.0
3,64,3.0,9.0,1.0,0.0
3,64,3.0,9.5,1.0,0.0
3,64,3.0,10.0,1.0,0.0
3,64,3.5,0.5,1.0,0.0
3,64,3.5,1.0,1.0,0.0
3,64,3.5,1.5,1.0,0.0
3,64,3.5,2.0,1.0,0.0
3,64,3.5,2.5,1.0,0.0
3,64,3.5,3.0,1.0,0.0
3,64,3.5,3.5,1.0,0.0
3,64,3.5,4.0,1.0,0.0
3,64,3.5,4.5,1.0,0.0
3,64,3.5,5.0,1.0,0.0
3,64,3.5,5.5,1.0,0.0
3,64,3.5,6.0,1.0,0.0
3,64,3.5,6.5,1.0,0.0
3,64,3.5,7.0,1.0,0.0
3,64,3.5,7.5,1.0,0.0
3,64,3.5,8.0,1.0,0.0
3,64,3.5,8.5,0.9629629629629629,0.038461538461538464
3,64,3.5,9.0,1.0,0.0
3,64,3.5,9.5,1.0,0.0
3,64,3.5,10.0,1.0,0.0
3,64,4.0,0.5,1.0,0.0
3,64,4.0,1.0,1.0,0.0
3,64,4.0,1.5,0.9629629629629629,0.038461538461538464
3,64,4.0,2.0,1.0,0.0
3,64,4.0,2.5,1.0,0.0
3,64,4.0,3.0,1.0,0.0
3,64,4.0,3.5,1.0,0.0
3,64,4.0,4.0,1.0,0.0
3,64,4.0,4.5,1.0,0.0
3,64,4.0,5.0,0.9629629629629629,0.038461538461538464
3,64,4.0,5.5,1.0,0.0
3,64,4.0,6.0,1.0,0.0
3,64,4.0,6.5,1.0,0.0
3,64,4.0,7.0,1.0,0.0
3,64,4.0,7.5,1.0,0.0
3,64,4.0,8.0,1.0,0.0
3,64,4.0,8.5,1.0,0.0
3,64,4.0,9.0,1.0,0.0
3,64,4.0,9.5,1.0,0.0
3,64,4.0,10.0,1.0,0.0
3,64,4.5,0.5,1.0,0.0
3,64,4.5,1.0,1.0,0.0
3,64,4.5,1.5,0.9629629629629629,0.038461538461538464
3,64,4.5,2.0,0.9629629629629629,0.038461538461538464
3,64,4.5,2.5,1.0,0.0
3,64,4.5,3.0,1.0,0.0
3,64,4.5,3.5,1.0,0.0
3,64,4.5,4.0,1.0,0.0
3,64,4.5,4.5,0.9629629629629629,0.038461538461538464
3,64,4.5,5.0,1.0,0.0
3,64,4.5,5.5,1.0,0.0
3,64,4.5,6.0,1.0,0.0
3,64,4.5,6.5,1.0,0.0
3,64,4.5,7.0,1.0,0.0
3,64,4.5,7.5,1.0,0.0
3,64,4.5,8.0,0.9629629629629629,0.038461538461538464
3,64,4.5,8.5,0.9629629629629629,0.038461538461538464
3,64,4.5,9.0,1.0,0.0
3,64,4.5,9.5,1.0,0.0
3,64,4.5,10.0,1.0,0.0
3,64,5.0,0.5,1.0,0.0
3,64,5.0,1.0,0.9629629629629629,0.038461538461538464
3,64,5.0,1.5,0.9629629629629629,0.038461538461538464
3,64,5.0,2.0,0.9629629629629629,0.038461538461538464
3,64,5.0,2.5,1.0,0.0
3,64,5.0,3.0,1.0,0.0
3,64,5.0,3.5,1.0,0.0
3,64,5.0,4.0,1.0,0.0
3,64,5.0,4.5,0.9629629629629629,0.038461538461538464
3,64,5.0,5.0,1.0,0.0
3,64,5.0,5.5,1.0,0.0
3,64,5.0,6.0,1.0,0.0
3,64,5.0,6.5,1.0,0.0
3,64,5.0,7.0,1.0,0.0
3,64,5.0,7.5,1.0,0.0
3,64,5.0,8.0,1.0,0.0
3,64,5.0,8.5,1.0,0.0
3,64,5.0,9.0,1.0,0.0
3,64,5.0,9.5,1.0,0.0
3,64,5.0,10.0,1.0,0.0
3,64,5.5,0.5,1.0,0.0
3,64,5.5,1.0,0.9629629629629629,0.038461538461538464
3,64,5.5,1.5,1.0,0.0
3,64,5.5,2.0,1.0,0.0
3,64,5.5,2.5,0.9629629629629629,0.038461538461538464
3,64,5.5,3.0,0.9629629629629629,0.038461538461538464
3,64,5.5,3.5,1.0,0.0
3,64,5.5,4.0,0.9629629629629629,0.038461538461538464
3,64,5.5,4.5,1.0,0.0
3,64,5.5,5.0,0.9629629629629629,0.038461538461538464
3,64,5.5,5.5,0.9629629629629629,0.038461538461538464
3,64,5.5,6.0,1.0,0.0
3,64,5.5,6.5,1.0,0.0
3,64,5.5,7.0,0.9629629629629629,0.038461538461538464
3,64,5.5,7.5,1.0,0.0
3,64,5.5,8.0,1.0,0.0
3,64,5.5,8.5,0.9629629629629629,0.038461538461538464
3,64,5.5,9.0,0.8888888888888888,0.125
3,64,5.5,9.5,1.0,0.0
3,64,5.5,10.0,1.0,0.0
3,64,6.0,0.5,0.9259259259259259,0.08
3,64,6.0,1.0,0.9629629629629629,0.038461538461538464
3,64,6.0,1.5,0.9259259259259259,0.08
3,64,6.0,2.0,1.0,0.0
3,64,6.0,2.5,0.8518518518518519,0.17391304347826086
3,64,6.0,3.0,1.0,0.0
3,64,6.0,3.5,0.8888888888888888,0.125
3,64,6.0,4.0,0.9629629629629629,0.038461538461538464
3,64,6.0,4.5,1.0,0.0
3,64,6.0,5.0,1.0,0.0
3,64,6.0,5.5,1.0,0.0
3,64,6.0,6.0,1.0,0.0
3,64,6.0,6.5,0.9629629629629629,0.038461538461538464
3,64,6.0,7.0,1.0,0.0
3,64,6.0,7.5,1.0,0.0
3,64,6.0,8.0,0.9629629629629629,0.038461538461538464
3,64,6.0,8.5,0.9629629629629629,0.038461538461538464
3,64,6.0,9.0,0.9629629629629629,0.038461538461538464
3,64,6.0,9.5,0.9629629629629629,0.038461538461538464
3,64,6.0,10.0,0.9259259259259259,0.08
3,64,6.5,0.5,0.9259259259259259,0.08
3,64,6.5,1.0,0.9629629629629629,0.038461538461538464
3,64,6.5,1.5,0.9259259259259259,0.08
3,64,6.5,2.0,0.9259259259259259,0.08
3,64,6.5,2.5,0.9629629629629629,0.038461538461538464
3,64,6.5,3.0,0.9259259259259259,0.08
3,64,6.5,3.5,1.0,0.0
3,64,6.5,4.0,0.8888888888888888,0.125
3,64,6.5,4.5,0.9629629629629629,0.038461538461538464
3,64,6.5,5.0,0.9629629629629629,0.038461538461538464
3,64,6.5,5.5,0.9629629629629629,0.038461538461538464
3,64,6.5,6.0,1.0,0.0
3,64,6.5,6.5,0.9259259259259259,0.08
3,64,6.5,7.0,0.9629629629629629,0.038461538461538464
3,64,6.5,7.5,0.9629629629629629,0.038461538461538464
3,64,6.5,8.0,0.9259259259259259,0.08
3,64,6.5,8.5,1.0,0.0
3,64,6.5,9.0,0.9629629629629629,0.038461538461538464
3,64,6.5,9.5,0.9259259259259259,0.08
3,64,6.5,10.0,0.9629629629629629,0.038461538461538464
3,64,7.0,0.5,0.8518518518518519,0.17391304347826086
3,64,7.0,1.0,1.0,0.0
3,64,7.0,1.5,0.8888888888888888,0.125
3,64,7.0,2.0,1.0,0.0
3,64,7.0,2.5,0.9259259259259259,0.08
3,64,7.0,3.0,0.9259259259259259,0.08
3,64,7.0,3.5,1.0,0.0
3,64,7.0,4.0,0.8518518518518519,0.17391304347826086
3,64,7.0,4.5,0.8888888888888888,0.125
3,64,7.0,5.0,0.9259259259259259,0.08
3,64,7.0,5.5,0.9629629629629629,0.038461538461538464
3,64,7.0,6.0,0.9629629629629629,0.038461538461538464
3,64,7.0,6.5,0.9259259259259259,0.08
3,64,7.0,7.0,0.8888888888888888,0.125
3,64,7.0,7.5,0.8888888888888888,0.125
3,64,7.0,8.0,0.9259259259259259,0.08
3,64,7.0,8.5,0.8148148148148148,0.18181818181818182
3,64,7.0,9.0,0.9259259259259259,0.08
3,64,7.0,9.5,0.8888888888888888,0.125
3,64,7.0,10.0,0.9629629629629629,0.038461538461538464
3,64,7.5,0.5,0.9629629629629629,0.038461538461538464
3,64,7.5,1.0,0.8518518518518519,0.17391304347826086
3,64,7.5,1.5,0.9629629629629629,0.038461538461538464
3,64,7.5,2.0,0.9259259259259259,0.08
3,64,7.5,2.5,0.8518518518518519,0.13043478260869565
3,64,7.5,3.0,0.8518518518518519,0.17391304347826086
3,64,7.5,3.5,0.8888888888888888,0.125
3,64,7.5,4.0,0.8888888888888888,0.08333333333333333
3,64,7.5,4.5,1.0,0.0
3,64,7.5,5.0,0.9629629629629629,0.038461538461538464
3,64,7.5,5.5,0.9629629629629629,0.038461538461538464
3,64,7.5,6.0,1.0,0.0
3,64,7.5,6.5,0.9629629629629629,0.038461538461538464
3,64,7.5,7.0,0.9259259259259259,0.08
3,64,7.5,7.5,0.9629629629629629,0.038461538461538464
3,64,7.5,8.0,0.8888888888888888,0.125
3,64,7.5,8.5,0.9259259259259259,0.08
3,64,7.5,9.0,0.9259259259259259,0.08
3,64,7.5,9.5,0.9259259259259259,0.08
3,64,7.5,10.0,0.9629629629629629,0.038461538461538464
3,64,8.0,0.5,0.9259259259259259,0.08
3,64,8.0,1.0,0.9259259259259259,0.08
3,64,8.0,1.5,0.9629629629629629,0.038461538461538464
3,64,8.0,2.0,0.9259259259259259,0.08
3,64,8.0,2.5,0.8888888888888888,0.125
3,64,8.0,3.0,0.9259259259259259,0.08
3,64,8.0,3.5,0.8888888888888888,0.125
3,64,8.0,4.0,0.8888888888888888,0.125
3,64,8.0,4.5,0.9629629629629629,0.038461538461538464
3,64,8.0,5.0,0.9629629629629629,0.038461538461538464
3,64,8.0,5.5,0.8518518518518519,0.17391304347826086
3,64,8.0,6.0,0.8518518518518519,0.17391304347826086
3,64,8.0,6.5,0.8518518518518519,0.17391304347826086
3,64,8.0,7.0,0.8888888888888888,0.125
3,64,8.0,7.5,0.9259259259259259,0.08
3,64,8.0,8.0,0.8888888888888888,0.125
3,64,8.0,8.5,1.0,0.0
3,64,8.0,9.0,0.8148148148148148,0.18181818181818182
3,64,8.0,9.5,0.9259259259259259,0.08
3,64,8.0,10.0,0.8518518518518519,0.17391304347826086
3,64,8.5,0.5,0.9259259259259259,0.08
3,64,8.5,1.0,0.7407407407407407,0.35
3,64,8.5,1.5,0.8888888888888888,0.125
3,64,8.5,2.0,0.9259259259259259,0.08
3,64,8.5,2.5,0.8518518518518519,0.17391304347826086
3,64,8.5,3.0,0.8148148148148148,0.22727272727272727
3,64,8.5,3.5,0.8518518518518519,0.17391304347826086
3,64,8.5,4.0,0.9259259259259259,0.08
3,64,8.5,4.5,0.8518518518518519,0.17391304347826086
3,64,8.5,5.0,0.8888888888888888,0.125
3,64,8.5,5.5,0.9259259259259259,0.08
3,64,8.5,6.0,0.8148148148148148,0.22727272727272727
3,64,8.5,6.5,0.8148148148148148,0.22727272727272727
3,64,8.5,7.0,0.8518518518518519,0.13043478260869565
3,64,8.5,7.5,0.8518518518518519,0.17391304347826086
3,64,8.5,8.0,0.9259259259259259,0.08
3,64,8.5,8.5,0.9259259259259259,0.08
3,64,8.5,9.0,0.8888888888888888,0.125
3,64,8.5,9.5,0.9629629629629629,0.038461538461538464
3,64,8.5,10.0,0.7777777777777778,0.2857142857142857
3,64,9.0,0.5,0.8888888888888888,0.125
3,64,9.0,1.0,0.8518518518518519,0.17391304347826086
3,64,9.0,1.5,0.9259259259259259,0.08
3,64,9.0,2.0,0.8518518518518519,0.17391304347826086
3,64,9.0,2.5,0.8148148148148148,0.22727272727272727
3,64,9.0,3.0,0.8148148148148148,0.22727272727272727
3,64,9.0,3.5,0.8888888888888888,0.125
3,64,9.0,4.0,0.9259259259259259,0.08
3,64,9.0,4.5,0.8518518518518519,0.17391304347826086
3,64,9.0,5.0,0.8518518518518519,0.13043478260869565
3,64,9.0,5.5,0.7407407407407407,0.35
3,64,9.0,6.0,0.9629629629629629,0.038461538461538464
3,64,9.0,6.5,0.9259259259259259,0.08
3,64,9.0,7.0,0.8888888888888888,0.125
3,64,9.0,7.5,0.8518518518518519,0.17391304347826086
3,64,9.0,8.0,0.7777777777777778,0.2857142857142857
3,64,9.0,8.5,0.8518518518518519,0.17391304347826086
3,64,9.0,9.0,0.8148148148148148,0.22727272727272727
3,64,9.0,9.5,0.8148148148148148,0.22727272727272727
3,64,9.0,10.0,0.9259259259259259,0.08
3,64,9.5,0.5,0.7777777777777778,0.23809523809523808
3,64,9.5,1.0,0.8518518518518519,0.17391304347826086
3,64,9.5,1.5,0.7777777777777778,0.23809523809523808
3,64,9.5,2.0,0.8148148148148148,0.22727272727272727
3,64,9.5,2.5,0.8518518518518519,0.17391304347826086
3,64,9.5,3.0,0.8518518518518519,0.17391304347826086
3,64,9.5,3.5,0.9259259259259259,0.08
3,64,9.5,4.0,0.8148148148148148,0.22727272727272727
3,64,9.5,4.5,0.7777777777777778,0.23809523809523808
3,64,9.5,5.0,0.8148148148148148,0.22727272727272727
